name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Cococut,,,Spice,,,,Secondary,Others,,
Coconot,,,Flavor,,,,Secondary,Others,,
Coconut,,,Spice,,,,Primary,Others,,
COCONUTS,,,Flavor,,,,Boil,Others,,
Cocounut,,,Flavor,,,,Secondary,Others,,
Coentro,,,Spice,,,,Boil,Others,,
Coentros,,,Spice,,,,Boil,Others,,
Cofee,,,Other,,,,Kegging,Others,,
Coffe,,,Flavor,,,,Secondary,Others,,
Coffea,,,Other,,,,Boil,Others,,
Coffee,,,Flavor,,,,Secondary,Others,,
Coffeebeans,,,Flavor,,,,Secondary,Others,,
Coffeee,,,Other,,,,Boil,Others,,
Coffeeshot,,,Flavor,,,,Primary,Others,,
Coffie,,,Spice,,,,Boil,Others,,
Coffy,,,Other,,,,Primary,Others,,
Cognac,,,Flavor,,,,Secondary,Others,,
Coiander,,,Spice,,,,Boil,Others,,
Cointreau,,,Spice,,,,Bottling,Others,,
Coirander,,,Spice,,,,Boil,Others,,
Colada,,,Flavor,,,,Secondary,Others,,
Coleander,,,Spice,,,,Boil,Others,,
Colendra,,,Flavor,,,,Boil,Others,,
Coliander,,,Spice,,,,Boil,Others,,
Columbus,,,Flavor,,,,Secondary,Others,,
Cominho,,,Flavor,,,,Boil,Others,,
Comino,,,Spice,,,,Boil,Others,,
Compac,,,Fining,,,,Boil,Others,,
CONK,,,Flavor,,,,Primary,Others,,
Cookies,,,Flavor,,,,Mash,Others,,
Coop,,,Other,,,,Boil,Others,,
Coordinator,,,Flavor,,,,Boil,Others,,
Cooriander,,,Flavor,,,,Boil,Others,,
Coppafloc,,,Fining,,,,Boil,Others,,
Copper,,,Fining,,,,Boil,Others,,
Copperfloc,,,Fining,,,,Boil,Others,,
Copperflox,,,Fining,,,,Boil,Others,,
Cor,,,Spice,,,,Other,Others,,
Corainder,,,Spice,,,,Boil,Others,,
Corander,,,Spice,,,,Boil,Others,,
Corandier,,,Spice,,,,Boil,Others,,
Cordiander,,,Spice,,,,Primary,Others,,
Cordomom,,,Spice,,,,Boil,Others,,
Coreander,,,Spice,,,,Boil,Others,,
Coreiander,,,Spice,,,,Boil,Others,,
Cori,,,Spice,,,,Boil,Others,,
Coriader,,,Flavor,,,,Boil,Others,,
Coriadiner,,,Spice,,,,Boil,Others,,
Coriadre,,,Spice,,,,Boil,Others,,
Corianader,,,Spice,,,,Boil,Others,,
Coriancer,,,Spice,,,,Boil,Others,,
Coriand,,,Spice,,,,Boil,Others,,
Coriande,,,Herb,,,,Boil,Others,,
Coriandeer,,,Other,,,,Boil,Others,,
Coriandel,,,Spice,,,,Boil,Others,,
Coriander,,,Herb,,,,Boil,Others,,
Corianders,,,Spice,,,,Boil,Others,,
Coriandersamen,,,Spice,,,,Boil,Others,,
Corianderseed,,,Spice,,,,Boil,Others,,
Corianderseeds,,,Spice,,,,Boil,Others,,
Coriandes,,,Spice,,,,Boil,Others,,
Coriando,,,Spice,,,,Boil,Others,,
Coriandolo,,,Spice,,,,Boil,Others,,
Coriandor,,,Spice,,,,Boil,Others,,
Coriandr,,,Spice,,,,Boil,Others,,
Coriandre,,,Spice,,,,Other,Others,,
Coriandro,,,Spice,,,,Boil,Others,,
Coriandros,,,Spice,,,,Boil,Others,,
Corianger,,,Spice,,,,Boil,Others,,
Coridander,,,Herb,,,,Boil,Others,,
Coriender,,,Spice,,,,Boil,Others,,
Coriiander,,,Spice,,,,Boil,Others,,
Corinader,,,Flavor,,,,Boil,Others,,
Corinander,,,Herb,,,,Boil,Others,,
Corinder,,,Spice,,,,Boil,Others,,
Corirander,,,Spice,,,,Boil,Others,,
Corn,,,Flavor,,,,Mash,Others,,
Cornstarch,,,Other,,,,Mash,Others,,
Cornsugar,,,Other,,,,Boil,Others,,
Corr,,,Spice,,,,Boil,Others,,
Corrainder,,,Spice,,,,Boil,Others,,
Corrander,,,Spice,,,,Boil,Others,,
Correander,,,Spice,,,,Secondary,Others,,
Correandor,,,Flavor,,,,Boil,Others,,
Correnander,,,Spice,,,,Boil,Others,,
Corriader,,,Spice,,,,Boil,Others,,
Corriande,,,Spice,,,,Boil,Others,,
Corriander,,,Spice,,,,Boil,Others,,
Corriando,,,Spice,,,,Boil,Others,,
Corriandolo,,,Spice,,,,Boil,Others,,
Corriandor,,,Spice,,,,Boil,Others,,
Corriandre,,,Spice,,,,Boil,Others,,
Corrianer,,,Spice,,,,Boil,Others,,
Corridander,,,Spice,,,,Boil,Others,,
Corridner,,,Spice,,,,Boil,Others,,
Corrieander,,,Spice,,,,Boil,Others,,
Corrienader,,,Spice,,,,Boil,Others,,
Corriender,,,Spice,,,,Boil,Others,,
Corrinader,,,Spice,,,,Boil,Others,,
Corrinder,,,Spice,,,,Boil,Others,,
Corrriander,,,Spice,,,,Boil,Others,,
Corryander,,,Spice,,,,Boil,Others,,
Coryander,,,Spice,,,,Boil,Others,,
Coves,,,Spice,,,,Boil,Others,,
Cowberries,,,Flavor,,,,Secondary,Others,,
Crab,,,Other,,,,Boil,Others,,
Crabapple,,,Flavor,,,,Secondary,Others,,
Crabapples,,,Flavor,,,,Secondary,Others,,
Craie,,,Water Agt,,,,Mash,Others,,
Craisin,,,Flavor,,,,Secondary,Others,,
Craisins,,,Flavor,,,,Primary,Others,,
Cramberries,,,Flavor,,,,Boil,Others,,
Cranbeery,,,Flavor,,,,Other,Others,,
Cranberries,,,Flavor,,,,Secondary,Others,,
Cranberry,,,Flavor,,,,Secondary,Others,,
Cranberrys,,,Flavor,,,,Boil,Others,,
Crapapple,,,Spice,,,,Boil,Others,,
Cravinho,,,Spice,,,,Boil,Others,,
Cravo,,,Spice,,,,Boil,Others,,
Crawfish,,,Other,,,,Boil,Others,,
Crisantemo,,,Herb,,,,Other,Others,,
Cristaline,,,Water Agt,,,,Mash,Others,,
CRS,,,Water Agt,,,,Mash,Others,,
Crysanthemum,,,Herb,,,,Boil,Others,,
Cubeb,,,Spice,,,,Boil,Others,,
Cucumber,,,Flavor,,,,Secondary,Others,,
Cucumbers,,,Flavor,,,,Primary,Others,,
Cuisoare,,,Spice,,,,Boil,Others,,
Culantro,,,Spice,,,,Mash,Others,,
Cumen,,,Spice,,,,Boil,Others,,
Cumin,,,Spice,,,,Boil,Others,,
Cummin,,,Spice,,,,Boil,Others,,
Cumquat,,,Other,,,,Boil,Others,,
Cura,,,Spice,,,,Secondary,Others,,
Curacao,,,Spice,,,,Boil,Others,,
Curacaoc,,,Spice,,,,Boil,Others,,
Curacaoschil,,,Flavor,,,,Boil,Others,,
Curacaoskall,,,Spice,,,,Boil,Others,,
Curaco,,,Spice,,,,Boil,Others,,
Curacoa,,,Flavor,,,,Boil,Others,,
Curcumin,,,Spice,,,,Boil,Others,,
Curocao,,,Spice,,,,Boil,Others,,
Currant,,,Other,,,,Boil,Others,,
Currants,,,Flavor,,,,Secondary,Others,,
Currents,,,Flavor,,,,Boil,Others,,
Curricao,,,Spice,,,,Boil,Others,,
Curry,,,Spice,,,,Boil,Others,,
Cynamon,,,Spice,,,,Boil,Others,,
Cytryna,,,Flavor,,,,Secondary,Others,,
Cyxcyxcy,,,Fining,,,,Bottling,Others,,
DaBomb,,,Spice,,,,Boil,Others,,
Dadelpurre,,,Flavor,,,,Boil,Others,,
Dadelsirap,,,Flavor,,,,Boil,Others,,
Dadlar,,,Flavor,,,,Boil,Others,,
Damasco,,,Flavor,,,,Boil,Others,,
Damiana,,,Spice,,,,Boil,Others,,
Damsons,,,Herb,,,,Secondary,Others,,
Dandalion,,,Herb,,,,Boil,Others,,
Dandelion,,,Herb,,,,Boil,Others,,
Dandelions,,,Herb,,,,Boil,Others,,
DAP,,,Water Agt,,,,Boil,Others,,
Darkcandysugar,,,Flavor,,,,Boil,Others,,
Darkchocolate,,,Flavor,,,,Secondary,Others,,
Date,,,Flavor,,,,Primary,Others,,
Dates,,,Flavor,,,,Boil,Others,,
Dattes,,,Other,,,,Secondary,Others,,
Dectrose,,,Other,,,,Bottling,Others,,
Defoamer,,,Other,,,,Boil,Others,,
Defomer,,,Other,,,,Boil,Others,,
Deltafloc,,,Fining,,,,Boil,Others,,
Deltaflock,,,Fining,,,,Boil,Others,,
Demera,,,Other,,,,Bottling,Others,,
Demerara,,,Herb,,,,Boil,Others,,
Demererasukker,,,Other,,,,Primary,Others,,
Dennetoppen,,,Flavor,,,,Boil,Others,,
Dexatrim,,,Fining,,,,Boil,Others,,
Dexroset,,,Other,,,,Bottling,Others,,
Dextrin,,,Other,,,,Boil,Others,,
Dextrina,,,Other,,,,Boil,Others,,
Dextrine,,,Fining,,,,Primary,Others,,
DextrinMaltExtract,,,Other,,,,Boil,Others,,
Dextropur,,,Other,,,,Secondary,Others,,
Dextros,,,Other,,,,Boil,Others,,
Dextrosa,,,Other,,,,Boil,Others,,
Dextrose,,,Other,,,,Boil,Others,,
Dextroxe,,,Other,,,,Bottling,Others,,
Dextroza,,,Other,,,,Secondary,Others,,
Dhania,,,Spice,,,,Boil,Others,,
Diatase,,,Other,,,,Mash,Others,,
Digestive,,,Flavor,,,,Secondary,Others,,
Dill,,,Herb,,,,Boil,Others,,
Disaronna,,,Flavor,,,,Secondary,Others,,
Disaronno,,,Flavor,,,,Secondary,Others,,
Div,,,Flavor,,,,Boil,Others,,
DLS,,,Water Agt,,,,Mash,Others,,
DM,,,Other,,,,Other,Others,,
DME,,,Other,,,,Other,Others,,
Dolmite,,,Water Agt,,,,Mash,Others,,
Dragon,,,Spice,,,,Boil,Others,,
DragonFruit,,,Other,,,,Secondary,Others,,
Dulse,,,Other,,,,Boil,Others,,
DWB,,,Water Agt,,,,Mash,Others,,
Dwn,,,Water Agt,,,,Mash,Others,,
Dwp,,,Water Agt,,,,Mash,Others,,
Eastnutrient,,,Other,,,,Boil,Others,,
Echinacea,,,Herb,,,,Other,Others,,
Eggnog,,,Spice,,,,Mash,Others,,
Eichenholzchips,,,Flavor,,,,Secondary,Others,,
Eik,,,Flavor,,,,Secondary,Others,,
Eikechips,,,Flavor,,,,Primary,Others,,
Eikekuber,,,Other,,,,Secondary,Others,,
Eikespon,,,Flavor,,,,Secondary,Others,,
Eiketerninger,,,Other,,,,Secondary,Others,,
Einebusk,,,Herb,,,,Mash,Others,,
Einekvister,,,Herb,,,,Mash,Others,,
Einer,,,Spice,,,,Boil,Others,,
Ekchips,,,Spice,,,,Secondary,Others,,
Ekflis,,,Other,,,,Secondary,Others,,
Ekkuber,,,Flavor,,,,Secondary,Others,,
Elder,,,Flavor,,,,Boil,Others,,
Elderberries,,,Herb,,,,Boil,Others,,
Elderberry,,,Flavor,,,,Primary,Others,,
Elderflower,,,Flavor,,,,Boil,Others,,
Elderflowers,,,Herb,,,,Boil,Others,,
Elderfower,,,Spice,,,,Boil,Others,,
Elecampane,,,Herb,,,,Boil,Others,,
Empsom,,,Water Agt,,,,Boil,Others,,
Enebro,,,Herb,,,,Boil,Others,,
Ener,,,Spice,,,,Boil,Others,,
Energizer,,,Other,,,,Boil,Others,,
Engelwortel,,,Spice,,,,Boil,Others,,
Engifer,,,Spice,,,,Boil,Others,,
Enzyime,,,Water Agt,,,,Secondary,Others,,
Enzyme,,,Other,,,,Secondary,Others,,
Enzymes,,,Other,,,,Primary,Others,,
Epazote,,,Spice,,,,Boil,Others,,
Epimedium,,,Other,,,,Bottling,Others,,
Eplejuce,,,Flavor,,,,Primary,Others,,
Eplejuice,,,Flavor,,,,Primary,Others,,
Epler,,,Flavor,,,,Primary,Others,,
Eplesaft,,,Other,,,,Primary,Others,,
Epsom,,,Water Agt,,,,Boil,Others,,
Epsresso,,,Flavor,,,,Boil,Others,,
Epsum,,,Water Agt,,,,Mash,Others,,
Equinox,,,Spice,,,,Kegging,Others,,
Erdelflower,,,Flavor,,,,Primary,Others,,
Ervas,,,Herb,,,,Boil,Others,,
Espresso,,,Flavor,,,,Secondary,Others,,
Espressoooo,,,Flavor,,,,Secondary,Others,,
Essance,,,Flavor,,,,Boil,Others,,
Esspresso,,,Spice,,,,Secondary,Others,,
Estragon,,,Herb,,,,Boil,Others,,
Eucalyptus,,,Herb,,,,Other,Others,,
Everclear,,,Other,,,,Bottling,Others,,
Expresso,,,Flavor,,,,Secondary,Others,,
Exspesso,,,Flavor,,,,Boil,Others,,
Extract,,,Flavor,,,,Bottling,Others,,
Farine,,,Other,,,,Boil,Others,,
Farro,,,Other,,,,Mash,Others,,
Feijoa,,,Other,,,,Secondary,Others,,
Fenel,,,Spice,,,,Boil,Others,,
Fenelseed,,,Spice,,,,Boil,Others,,
Fennal,,,Flavor,,,,Boil,Others,,
Fennel,,,Spice,,,,Boil,Others,,
Fenouil,,,Spice,,,,Boil,Others,,
Fenugreek,,,Spice,,,,Secondary,Others,,
Ferfmax,,,Other,,,,Boil,Others,,
FermaCap,,,Other,,,,Boil,Others,,
Fermaid,,,Other,,,,Boil,Others,,
FermaidK,,,Other,,,,Boil,Others,,
Fermax,,,Other,,,,Mash,Others,,
Fermazx,,,Water Agt,,,,Boil,Others,,
Fermcap,,,Water Agt,,,,Boil,Others,,
Fermcaps,,,Water Agt,,,,Boil,Others,,
Fermclear,,,Fining,,,,Primary,Others,,
Fermenk,,,Other,,,,Boil,Others,,
Fermentex,,,Fining,,,,Boil,Others,,
Fermentis,,,Other,,,,Boil,Others,,
Fermex,,,Other,,,,Boil,Others,,
Ferrmax,,,Other,,,,Boil,Others,,
Fersken,,,Flavor,,,,Secondary,Others,,
Ferskenpurre,,,Flavor,,,,Secondary,Others,,
Fiberhavregryn,,,Other,,,,Mash,Others,,
FICHI,,,Other,,,,Primary,Others,,
Fichte,,,Spice,,,,Mash,Others,,
Fiddleheads,,,Flavor,,,,Secondary,Others,,
Fig,,,Flavor,,,,Secondary,Others,,
Figs,,,Other,,,,Secondary,Others,,
Fiken,,,Flavor,,,,Boil,Others,,
Fingings,,,Fining,,,,Boil,Others,,
Fining,,,Fining,,,,Secondary,Others,,
Finings,,,Fining,,,,Boil,Others,,
Finishe,,,Fining,,,,Secondary,Others,,
Finning,,,Fining,,,,Boil,Others,,
Finnings,,,Fining,,,,Boil,Others,,
Finnmarkspors,,,Herb,,,,Boil,Others,,
Fireweed,,,Spice,,,,Boil,Others,,
Firmcap,,,Other,,,,Boil,Others,,
FlameOut,,,Other,,,,Boil,Others,,
Flavoring,,,Spice,,,,Secondary,Others,,
Flavouring,,,Flavor,,,,Primary,Others,,
Floc,,,Fining,,,,Boil,Others,,
Flocculant,,,Other,,,,Boil,Others,,
Flocculation,,,Water Agt,,,,Boil,Others,,
Flocculent,,,Fining,,,,Boil,Others,,
Flock,,,Fining,,,,Boil,Others,,
Floculante,,,Fining,,,,Boil,Others,,
Flocwort,,,Fining,,,,Boil,Others,,
Flokkulant,,,Fining,,,,Boil,Others,,
Flour,,,Other,,,,Boil,Others,,
Fluff,,,Flavor,,,,Boil,Others,,
Fnings,,,Other,,,,Boil,Others,,
Foamsol,,,Other,,,,Boil,Others,,
Foamstab,,,Fining,,,,Bottling,Others,,
Fosforsyre,,,Water Agt,,,,Mash,Others,,
Fosforzuur,,,Water Agt,,,,Mash,Others,,
Fraises,,,Other,,,,Secondary,Others,,
Framboesa,,,Flavor,,,,Boil,Others,,
Framboise,,,Flavor,,,,Secondary,Others,,
Framboises,,,Flavor,,,,Secondary,Others,,
Frangelica,,,Flavor,,,,Bottling,Others,,
Frangelico,,,Flavor,,,,Bottling,Others,,
Fresas,,,Flavor,,,,Other,Others,,
Fresno,,,Spice,,,,Secondary,Others,,
Frokostblanding,,,Other,,,,Mash,Others,,
Fructose,,,Other,,,,Boil,Others,,
Fruit,,,Flavor,,,,Secondary,Others,,
Frutillas,,,Flavor,,,,Primary,Others,,
Fudge,,,Flavor,,,,Boil,Others,,
Fuggles,,,Other,,,,Primary,Others,,
GA,,,Other,,,,Primary,Others,,
Galangal,,,Flavor,,,,Boil,Others,,
Galatin,,,Fining,,,,Kegging,Others,,
Galaxy,,,Other,,,,Primary,Others,,
Galiamelon,,,Flavor,,,,Secondary,Others,,
Galingale,,,Spice,,,,Secondary,Others,,
Gambrinus,,,Spice,,,,Other,Others,,
Garlic,,,Spice,,,,Boil,Others,,
Gealtine,,,Fining,,,,Primary,Others,,
Gel,,,Fining,,,,Bottling,Others,,
Gelantin,,,Fining,,,,Kegging,Others,,
Gelantine,,,Fining,,,,Kegging,Others,,
Gelatin,,,Fining,,,,Primary,Others,,
Gelatina,,,Fining,,,,Secondary,Others,,
Gelatine,,,Fining,,,,Primary,Others,,
GELATING,,,Fining,,,,Primary,Others,,
Geletain,,,Fining,,,,Secondary,Others,,
Geletan,,,Fining,,,,Secondary,Others,,
Geletin,,,Fining,,,,Secondary,Others,,
Gelitan,,,Fining,,,,Bottling,Others,,
Gelitin,,,Fining,,,,Secondary,Others,,
Geliton,,,Fining,,,,Bottling,Others,,
Gellatin,,,Fining,,,,Secondary,Others,,
Gellatine,,,Fining,,,,Secondary,Others,,
Geltin,,,Fining,,,,Boil,Others,,
Gember,,,Spice,,,,Boil,Others,,
Gemberpoeder,,,Spice,,,,Boil,Others,,
Genepy,,,Spice,,,,Boil,Others,,
Genever,,,Spice,,,,Secondary,Others,,
Gengiber,,,Flavor,,,,Boil,Others,,
Gengible,,,Spice,,,,Boil,Others,,
Gengibre,,,Herb,,,,Boil,Others,,
Gengribre,,,Spice,,,,Bottling,Others,,
Genjibre,,,Spice,,,,Boil,Others,,
Genzianella,,,Herb,,,,Boil,Others,,
Geranium,,,Herb,,,,Boil,Others,,
Gesho,,,Flavor,,,,Boil,Others,,
Ghimbir,,,Spice,,,,Boil,Others,,
Ghirardelli,,,Flavor,,,,Boil,Others,,
Gin,,,Flavor,,,,Secondary,Others,,
Gineger,,,Spice,,,,Boil,Others,,
Ginepro,,,Spice,,,,Boil,Others,,
Gingembre,,,Spice,,,,Boil,Others,,
Ginger,,,Spice,,,,Boil,Others,,
Gingerbread,,,Flavor,,,,Primary,Others,,
Gingerjuice,,,Spice,,,,Boil,Others,,
Gingerprobiotic,,,Other,,,,Bottling,Others,,
Gingerroot,,,Spice,,,,Boil,Others,,
Gingers,,,Spice,,,,Boil,Others,,
Gingimber,,,Spice,,,,Boil,Others,,
Ginkgo,,,Herb,,,,Boil,Others,,
Ginseng,,,Flavor,,,,Primary,Others,,
Gips,,,Water Agt,,,,Mash,Others,,
Gipsom,,,Flavor,,,,Boil,Others,,
Gipsum,,,Water Agt,,,,Boil,Others,,
Gipsz,,,Water Agt,,,,Mash,Others,,
Girofle,,,Spice,,,,Boil,Others,,
Gistvoeding,,,Other,,,,Boil,Others,,
Gleatin,,,Fining,,,,Kegging,Others,,
Glover,,,Spice,,,,Boil,Others,,
Gloves,,,Spice,,,,Boil,Others,,
Glucose,,,Other,,,,Boil,Others,,
Glukoosia,,,Fining,,,,Bottling,Others,,
Gluten,,,Other,,,,Boil,Others,,
Glutin,,,Other,,,,Boil,Others,,
Gluwhien,,,Other,,,,Secondary,Others,,
GoFerm,,,Other,,,,Primary,Others,,
Goji,,,Other,,,,Boil,Others,,
Goldenrod,,,Herb,,,,Boil,Others,,
Golding,,,Flavor,,,,Other,Others,,
Goldings,,,Flavor,,,,Boil,Others,,
Gonger,,,Spice,,,,Boil,Others,,
Gooseberries,,,Flavor,,,,Secondary,Others,,
Gooseberry,,,Flavor,,,,Secondary,Others,,
GoP,,,Spice,,,,Boil,Others,,
Gpysum,,,Water Agt,,,,Boil,Others,,
Graapefruit,,,Spice,,,,Boil,Others,,
Granbarr,,,Flavor,,,,Boil,Others,,
GRANITSTEN,,,Other,,,,Boil,Others,,
Granskott,,,Flavor,,,,Boil,Others,,
Granskudd,,,Herb,,,,Mash,Others,,
Granskuddsirup,,,Flavor,,,,Boil,Others,,
Granulat,,,Fining,,,,Boil,Others,,
Grape,,,Flavor,,,,Boil,Others,,
Grapefruit,,,Flavor,,,,Secondary,Others,,
Grapefruitschale,,,Herb,,,,Boil,Others,,
Grapefruitskal,,,Herb,,,,Boil,Others,,
Grapefrukt,,,Flavor,,,,Boil,Others,,
Grapefruktskall,,,Spice,,,,Boil,Others,,
Grapefrute,,,Other,,,,Boil,Others,,
Grapes,,,Flavor,,,,Secondary,Others,,
Grapfruit,,,Flavor,,,,Boil,Others,,
Graprfruit,,,Flavor,,,,Secondary,Others,,
GREAPEFRUIT,,,Flavor,,,,Boil,Others,,
Green,,,Other,,,,Boil,Others,,
Grenadine,,,Flavor,,,,Secondary,Others,,
Grenetina,,,Fining,,,,Boil,Others,,
Grey,,,Flavor,,,,Boil,Others,,
Gringer,,,Spice,,,,Boil,Others,,
Griottes,,,Fining,,,,Secondary,Others,,
Grypsum,,,Water Agt,,,,Mash,Others,,
Gsynum,,,Water Agt,,,,Boil,Others,,
Guajillo,,,Spice,,,,Secondary,Others,,
Guanabana,,,Flavor,,,,Secondary,Others,,
Guatamalan,,,Flavor,,,,Secondary,Others,,
Guava,,,Other,,,,Other,Others,,
Guayaba,,,Other,,,,Secondary,Others,,
Guayabo,,,Flavor,,,,Boil,Others,,
Guayusa,,,Herb,,,,Boil,Others,,
Gupsum,,,Water Agt,,,,Boil,Others,,
Guypsum,,,Water Agt,,,,Boil,Others,,
Gybsum,,,Water Agt,,,,Other,Others,,
Gyipsum,,,Water Agt,,,,Mash,Others,,
Gyle,,,Other,,,,Bottling,Others,,
Gympsum,,,Fining,,,,Boil,Others,,
Gymsum,,,Water Agt,,,,Mash,Others,,
Gyosum,,,Water Agt,,,,Boil,Others,,
Gyp,,,Water Agt,,,,Boil,Others,,
Gypisum,,,Water Agt,,,,Mash,Others,,
Gypmsum,,,Water Agt,,,,Boil,Others,,
Gypse,,,Water Agt,,,,Mash,Others,,
GYPSEM,,,Water Agt,,,,Mash,Others,,
Gypseum,,,Water Agt,,,,Mash,Others,,
Gypsim,,,Water Agt,,,,Boil,Others,,
Gypsium,,,Flavor,,,,Mash,Others,,
Gypsiym,,,Water Agt,,,,Mash,Others,,
Gypsm,,,Water Agt,,,,Boil,Others,,
Gypsom,,,Water Agt,,,,Boil,Others,,
Gypsome,,,Water Agt,,,,Boil,Others,,
Gypson,,,Fining,,,,Boil,Others,,
Gypsum,,,Water Agt,,,,Mash,Others,,
Gypsun,,,Water Agt,,,,Mash,Others,,
Gypsup,,,Water Agt,,,,Mash,Others,,
Gypsuym,,,Water Agt,,,,Mash,Others,,
Gypsym,,,Water Agt,,,,Boil,Others,,
Gypsyn,,,Water Agt,,,,Boil,Others,,
Gypum,,,Water Agt,,,,Mash,Others,,
Gypusm,,,Water Agt,,,,Boil,Others,,
Gyspon,,,Water Agt,,,,Boil,Others,,
Gyspsum,,,Water Agt,,,,Boil,Others,,
Gyspum,,,Water Agt,,,,Other,Others,,
Gysum,,,Water Agt,,,,Boil,Others,,
Gyupsum,,,Water Agt,,,,Mash,Others,,
Gyypsum,,,Water Agt,,,,Boil,Others,,
Habanaro,,,Other,,,,Boil,Others,,
Habanero,,,Spice,,,,Boil,Others,,
Habaneros,,,Other,,,,Secondary,Others,,
Habenaro,,,Spice,,,,Other,Others,,
Habenero,,,Other,,,,Secondary,Others,,
Habeneros,,,Spice,,,,Mash,Others,,
Habinero,,,Spice,,,,Secondary,Others,,
Habiscus,,,Spice,,,,Boil,Others,,
Hallertau,,,Flavor,,,,Boil,Others,,
Hallon,,,Flavor,,,,Boil,Others,,
Hallonpulver,,,Flavor,,,,Secondary,Others,,
Halos,,,Flavor,,,,Secondary,Others,,
Ham,,,Flavor,,,,Other,Others,,
Harisa,,,Spice,,,,Primary,Others,,
Hash,,,Spice,,,,Boil,Others,,
Hatch,,,Spice,,,,Boil,Others,,
Havreflak,,,Other,,,,Boil,Others,,
Havregryn,,,Other,,,,Mash,Others,,
Havreskal,,,Other,,,,Mash,Others,,
Havsalt,,,Water Agt,,,,Mash,Others,,
Havssalt,,,Water Agt,,,,Mash,Others,,
Havtorn,,,Flavor,,,,Secondary,Others,,
Hay,,,Flavor,,,,Boil,Others,,
Hazelnut,,,Spice,,,,Secondary,Others,,
Hazelnuts,,,Flavor,,,,Primary,Others,,
Heather,,,Herb,,,,Boil,Others,,
Heathertips,,,Herb,,,,Boil,Others,,
Hebiscus,,,Herb,,,,Boil,Others,,
Hef,,,Fining,,,,Boil,Others,,
Heide,,,Herb,,,,Boil,Others,,
Hemp,,,Herb,,,,Boil,Others,,
Hempseed,,,Other,,,,Mash,Others,,
Herb,,,Flavor,,,,Secondary,Others,,
Herbal,,,Herb,,,,Secondary,Others,,
Herbs,,,Herb,,,,Boil,Others,,
Hibicus,,,Herb,,,,Boil,Others,,
Hibisco,,,Herb,,,,Boil,Others,,
Hibiscus,,,Herb,,,,Boil,Others,,
Hibiskus,,,Herb,,,,Primary,Others,,
Hibscus,,,Herb,,,,Boil,Others,,
Hibusic,,,Herb,,,,Primary,Others,,
Hibyscus,,,Herb,,,,Boil,Others,,
Hiivaravinne,,,Water Agt,,,,Primary,Others,,
Hinojo,,,Herb,,,,Bottling,Others,,
Honey,,,Other,,,,Boil,Others,,
Honeydew,,,Other,,,,Secondary,Others,,
Honeysuckle,,,Spice,,,,Boil,Others,,
Honig,,,Flavor,,,,Boil,Others,,
Honing,,,Flavor,,,,Bottling,Others,,
Honney,,,Flavor,,,,Primary,Others,,
Honning,,,Other,,,,Boil,Others,,
Honny,,,Flavor,,,,Primary,Others,,
Honung,,,Flavor,,,,Secondary,Others,,
Honungsmelon,,,Flavor,,,,Secondary,Others,,
Hony,,,Other,,,,Boil,Others,,
Hops,,,Flavor,,,,Boil,Others,,
Hopshop,,,Flavor,,,,Boil,Others,,
HopShot,,,Flavor,,,,Boil,Others,,
Hopshots,,,Other,,,,Boil,Others,,
Horehound,,,Herb,,,,Secondary,Others,,
Horseradish,,,Herb,,,,Secondary,Others,,
Hortela,,,Spice,,,,Boil,Others,,
Huacatay,,,Herb,,,,Boil,Others,,
Huckleberries,,,Other,,,,Bottling,Others,,
Huckleberry,,,Flavor,,,,Boil,Others,,
Huckleberrys,,,Flavor,,,,Boil,Others,,
Hveiti,,,Spice,,,,Boil,Others,,
Hvetemel,,,Other,,,,Boil,Others,,
Hybiscus,,,Spice,,,,Boil,Others,,
HYGEL,,,Other,,,,Boil,Others,,
Hyll,,,Herb,,,,Boil,Others,,
Hylleblomst,,,Flavor,,,,Secondary,Others,,
Hylleblomstsaft,,,Flavor,,,,Boil,Others,,
Hyskap,,,Flavor,,,,Boil,Others,,
Hysop,,,Herb,,,,Boil,Others,,
Hyssop,,,Herb,,,,Boil,Others,,
Ice,,,Other,,,,Other,Others,,
IM,,,Other,,,,Boil,Others,,
Imbir,,,Spice,,,,Boil,Others,,
Imsdal,,,Water Agt,,,,Mash,Others,,
Ingefer,,,Spice,,,,Boil,Others,,
Ingerfer,,,Spice,,,,Boil,Others,,
Ingver,,,Herb,,,,Boil,Others,,
Ingvers,,,Spice,,,,Boil,Others,,
Ingwer,,,Spice,,,,Boil,Others,,
Iresh,,,Fining,,,,Boil,Others,,
Iris,,,Fining,,,,Boil,Others,,
IRISCH,,,Water Agt,,,,Boil,Others,,
Irish,,,Fining,,,,Boil,Others,,
Irishmos,,,Fining,,,,Boil,Others,,
Irishmoss,,,Fining,,,,Boil,Others,,
IRISSMOSS,,,Other,,,,Boil,Others,,
Irshmoss,,,Fining,,,,Boil,Others,,
Isingglas,,,Fining,,,,Bottling,Others,,
Isinglas,,,Fining,,,,Secondary,Others,,
Isinglass,,,Fining,,,,Secondary,Others,,
Issinglass,,,Fining,,,,Bottling,Others,,
Jaboticaba,,,Spice,,,,Boil,Others,,
JackFruit,,,Flavor,,,,Secondary,Others,,
Jaeger,,,Spice,,,,Secondary,Others,,
Jaggery,,,Spice,,,,Boil,Others,,
Jalapano,,,Flavor,,,,Mash,Others,,
