name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Carafa I,Germany,,Roasted malt (Grain),,,,,Fermentables,340,32
Carafa II,Germany,,Roasted malt (Grain),,,,,Fermentables,425,32
Carafa III,Germany,,Roasted malt (Grain),,,,,Fermentables,535,32
Chocolate,America,,Roasted malt (Grain),,,,,Fermentables,350,29
Chocolate,Belgium,,Roasted malt (Grain),,,,,Fermentables,340,30
Chocolate,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,425,34
Chocolate Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,338,31
Chocolate Rye,Germany,,Roasted malt (Grain),,,,,Fermentables,240,31
Chocolate Wheat,Germany,,Roasted malt (Grain),,,,,Fermentables,413,31
Coffee Malt,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,150,36
Soft Candi Sugar - Blond,,,Sugar,,,,,Fermentables,5,38
Soft Candi Sugar - Brown,,,Sugar,,,,,Fermentables,60,38
Cookie Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,19,37
Dark Ale,Finland,,Roasted malt (Grain),,,,,Fermentables,14,35
Dark Chocolate,America,,Roasted malt (Grain),,,,,Fermentables,420,29
De-Bittered Black,Belgium,,Roasted malt (Grain),,,,,Fermentables,566,34
Strawberry,,,Fruit,,,,,Fermentables,0,3.15
Sultanas,,,Fruit,,,,,Fermentables,0,8.55
Tangelo,,,Fruit,,,,,Fermentables,0,3.35
Tangerine,,,Fruit,,,,,Fermentables,0,2.95
Tomato,,,Fruit,,,,,Fermentables,0,1.25
De-Husked Caraf I,Germany,,Roasted malt (Grain),,,,,Fermentables,340,32
De-Husked Caraf II,Germany,,Roasted malt (Grain),,,,,Fermentables,418,32
Turbinado,,,Sugar,,,,,Fermentables,10,44
De-Husked Caraf III,Germany,,Roasted malt (Grain),,,,,Fermentables,470,32
Melanoid Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,27,35
Melanoidin,Germany,,Roasted malt (Grain),,,,,Fermentables,25,37
Midnight Wheat Malt,America,,Roasted malt (Grain),,,,,Fermentables,550,33
Pale Chocolate,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,207,33
Watermelon,,,Fruit,,,,,Fermentables,0,4.05
Roasted Barley,America,,Roasted malt (Grain),,,,,Fermentables,300,33
Roasted Barley,Belgium,,Roasted malt (Grain),,,,,Fermentables,575,30
Roasted Barley,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,550,29
Special B,Belgium,,Roasted malt (Grain),,,,,Fermentables,115,34
Special Roast,America,,Roasted malt (Grain),,,,,Fermentables,50,33
White Sorghum Syrup - Gluten Free,,,Sugar,,,,,Fermentables,1.5,44
Victory,America,,Roasted malt (Grain),,,,,Fermentables,28,34
Youngberry,,,Fruit,,,,,Fermentables,0,2.5
Admiral,,,Pellet,,,13.5,Boil,Hops,,
Ahtanum,,,Pellet,,,5.4,Boil,Hops,,
Amarillo,,,Pellet,,,8.9,Boil,Hops,,
Apollo,,,Pellet,,,18.7,Boil,Hops,,
Aurora,,,Pellet,,,8.2,Boil,Hops,,
B. C. Goldings,,,Pellet,,,5.1,Boil,Hops,,
Banner,,,Pellet,,,13.1,Boil,Hops,,
Bramling Cross,,,Pellet,,,6.6,Boil,Hops,,
Bravo,,,Pellet,,,14.9,Boil,Hops,,
Brewer's Gold,,,Leaf/Whole,,,8.9,Boil,Hops,,
Bullion,,,Leaf/Whole,,,7.6,Boil,Hops,,
Calypso,,,Pellet,,,13.5,Boil,Hops,,
Cascade,,,Pellet,,,6.8,Boil,Hops,,
Centennial,,,Pellet,,,9.5,Aroma,Hops,,
Challenger,,,Pellet,,,8,Boil,Hops,,
chinook,,,Pellet,,,12.6,Boil,Hops,,
Citra,,,Pellet,,,11.7,Dry Hop,Hops,,
Cluster,,,Pellet,,,6.7,Boil,Hops,,
Columbia,,,Pellet,,,9.4,Boil,Hops,,
Columbus,,,Pellet,,,14.6,Boil,Hops,,
Comet,,,Leaf/Whole,,,10.9,Boil,Hops,,
Crystal,,,Plug,,,4.1,Aroma,Hops,,
Domestic Hallertau,,,Pellet,,,4.2,Boil,Hops,,
East Kent Goldings,,,Pellet,,,5.2,Boil,Hops,,
Eroica,,,Leaf/Whole,,,12,Boil,Hops,,
Falconer's Flight,,,Pellet,,,10.4,Dry Hop,Hops,,
First Gold,,,Leaf/Whole,,,7.4,Boil,Hops,,
Fuggles,,,Pellet,,,4.6,Boil,Hops,,
Galena,,,Pellet,,,12.9,Boil,Hops,,
Glacier,,,Pellet,,,5.6,Boil,Hops,,
